! M     log L   Mv    R    Teff    V-K    K-L   K-L'  V-R  spT  ! spT
60      5.90   -5.7  12    42000  -0.97  -0.06 -0.06 -0.15  1.5 ! O5
23      5.23   -4.5  8.5   35000  -0.94  -0.06 -0.06 -0.15  1.8 ! O8
17.5    4.72   -4.0  7.4   31500  -0.83  -0.06 -0.06 -0.13  2.0 ! B0
7.6     3.28   -2.0  4.8   19000  -0.56  -0.05 -0.05 -0.09  2.3 ! B3
5.9     2.92   -1.2  3.9   15400  -0.42  -0.04 -0.04 -0.06  2.5 ! B5
3.8     2.26   -0.25 3.0   11800  -0.24  -0.04 -0.03 -0.02  2.8 ! B8
2.9     1.73    0.65 2.4    9480   0.00   0.00  0.00  0.02  3.0 ! A0
2.4     1.40    1.3  2.0    8810   0.14   0.01  0.01  0.08  3.2 ! A2
2.0     1.15    1.95 1.7    8160   0.38   0.02  0.02  0.16  3.5 ! A5
1.9     1.05    2.2  1.65   7930   0.50   0.03  0.03  0.21  3.7 ! A7
1.6     0.81    2.7  1.5    7020   0.70   0.03  0.03  0.30  4.0 ! F0
1.45    0.64    3.2  1.39   6750   0.82   0.03  0.03  0.35  4.2 ! F2
1.3     0.51    3.5  1.3    6530   1.10   0.04  0.04  0.40  4.5 ! F5
1.16    0.28    3.9  1.18   6240   1.32   0.04  0.04  0.45  4.7 ! F7
1.05    0.18    4.4  1.1    5930   1.41   0.05  0.05  0.50  5.0 ! G0
1.00    0.00    4.7  1.00   5830   1.46   0.05  0.05  0.53  5.2 ! G2
0.92   -0.10    5.1  0.92   5680   1.58   0.05  0.05  0.54  5.5 ! G5
0.83   -0.30    5.5  0.87   5430   1.80   0.06  0.06  0.58  5.8 ! G8
0.79   -0.38    5.9  0.85   5240   1.96   0.06  0.06  0.64  6.0 ! K0
0.75   -0.50    6.4  0.82   5010   2.22   0.07  0.07  0.74  6.2 ! K2
0.67   -0.82    7.35 0.72   4340   2.85   0.10  0.11  0.99  6.5 ! K5
0.58   -0.96    8.1  0.65   4040   3.16   0.11  0.13  1.11  6.7 ! K7
0.51   -1.11    8.8  0.60   3800   3.65   0.14  0.17  1.28  7.0 ! M0
0.45   -1.26    9.3  0.52   3680   3.87   0.15  0.21  1.39  7.1 ! M1
0.37   -1.46    9.9  0.43   3530   4.11   0.16  0.23  1.50  7.2 ! M2
0.32   -1.57   10.5  0.37   3380    4.5   0.20  0.32  1.58  7.3 ! M3
0.29   -1.66   11.0  0.34   3180    4.8   0.23  0.37  1.68  7.4 ! M4
0.21   -1.96   12.3  0.27   3030    5.5   0.29  0.42  1.80  7.5 ! M5
0.14   -2.29   14.0  0.20   2850    6.3   0.36  0.48  2.20  7.6 ! M6
!0.32   -1.57   10.5  0.37   3380    4.6  ! M3
!0.29   -1.66   11.0  0.34   3180    5.0  ! M4
!0.21   -1.96   12.3  0.27   3030    6.1  ! M5
!0.14   -2.29   14.0  0.20   2850    7.3  ! M6

! masses, Teff, Mv, R, V-K from Allens' Astrophysical Quantities
! L from Binney & Merrifield
! Some spectral types interpolated
! V-K for latest M types verified/corrected from astrid stars
